dataset_id,dataset,variable_id,variable,type,description
1,member_states,1,key_id,numeric,An ID number that uniquely identifies each observation.
1,member_states,2,member_state_id,numeric,An ID number that uniquely identifies each member state.
1,member_states,3,member_state,string,The name of the member sate.
1,member_states,4,member_state_code,string,A two-letter code assigned to each member state by the Commission.
1,member_states,5,iso_alpha_2_code,string,The ISO 2-letter code for the member state.
1,member_states,6,iso_alpha_3_code,string,The ISO 3-letter code for the member state.
1,member_states,7,languages,string,"The official languages of the member state. If a member states has more than one official language, they are listed, separated by a comma. "
1,member_states,8,accession_date,date,The date that the member state acceded to the EU in the format {YYYY-MM-DD}.
1,member_states,9,accession_year,numeric,The year that the member state acceded to the EU.
1,member_states,10,current_member,dummy,A dummy variable indicating whether the member state is currently a member of the EU. Coded {1} if the member state is currently a member and {0} otherwise.
1,member_states,11,exit_date,date,"If the member state is no longer a member of the EU, the date that the member state exited the EU in the format {YYYY-MM-DD}. Coded {NA} if not applicable. "
1,member_states,12,exit_year,numeric,"If the member state is no longer a member of the EU, the year that the member state exited to the EU. Coded {NA} if not applicable. "
1,member_states,13,wave_1,dummy,A dummy variable indicating whether the member state was a founding member of the EU. Coded {1} if the member state was a founding member and {0} otherwise. 
1,member_states,14,wave_2,dummy,A dummy variable indicating whether the member state was part of the second accession wave (1973). Coded {1} if the member state was part of the second wave and {0} otherwise.
1,member_states,15,wave_3,dummy,A dummy variable indicating whether the member state was part of the third accession wave (1981). Coded {1} if the member state was part of the third wave and {0} otherwise.
1,member_states,16,wave_4,dummy,A dummy variable indicating whether the member state was part of the fourth accession wave (1986). Coded {1} if the member state was part of the fourth wave and {0} otherwise.
1,member_states,17,wave_5,dummy,A dummy variable indicating whether the member state was part of the fifth accession wave (1995). Coded {1} if the member state was part of the fifth wave and {0} otherwise.
1,member_states,18,wave_6,dummy,A dummy variable indicating whether the member state was part of the sixth accession wave (2004). Coded {1} if the member state was part of the sixth wave and {0} otherwise.
1,member_states,19,wave_7,dummy,A dummy variable indicating whether the member state was part of the seventh accession wave (2007). Coded {1} if the member state was part of the seventh wave and {0} otherwise.
1,member_states,20,wave_8,dummy,A dummy variable indicating whether the member state was part of the eighth accession wave (2013). Coded {1} if the member state was part of the eighth wave and {0} otherwise.
1,member_states,21,eu_15,dummy,"A dummy variable indicating whether the member state is part of the EU15, which refers to the members that joined prior to the 2004 expansion into Central and Eastern Europe. Coded {1} if the member state is part of the EU15 and {0} otherwise. "
1,member_states,22,eu_19,dummy,"A dummy variable indicating whether the member state is part of the EU19, which refers to the members of the Eurozone. Coded {1} if the member state is part of the EU19 and {0} otherwise. "
1,member_states,23,eu_10,dummy,"A dummy variable indicating whether the member state is part of the EU10, which refers to the members that joined  as part of the 2004 expansion into Central and Eastern Europe (including Cyprus and Malta). Coded {1} if the member state is part of the EU10 and {0} otherwise. "
1,member_states,24,eu_11,dummy,"A dummy variable indicating whether the member state is part of the EU11, which refers to the Central and Eastern European member states that joined between 2004 and 2013 (excluding Cyprus and Malta). Coded {1} if the member state is part of the EU11 and {0} otherwise. "
1,member_states,25,eu_27_old,dummy,"A dummy variable indicating whether the member state is part of the EU27 under the original meaning, which refers to all member states except Croatia. Coded {1} if the member state is part of the EU27 and {0} otherwise. "
1,member_states,26,eu_27_new,dummy,"A dummy variable indicating whether the member state is part of the EU27 under the new meaning, which refers to all member states except the United Kingdom. Coded {1} if the member state is part of the EU27 and {0} otherwise. "
1,member_states,27,eu_28,dummy,"A dummy variable indicating whether the member state is part of the EU28, which refers to all member states. Coded {1} if the member state is part of the EU28 and {0} otherwise. "
